query_id,document_id,gender,match_body_email_subject_score_norm,match_body_email_subject_term_count,match_body_email_subject_df_min,match_body_email_subject_df_max,match_body_email_subject_df_stdev,match_body_email_subject_df_sum,match_body_email_subject_idf_min,match_body_email_subject_idf_max,match_body_email_subject_idf_stdev,match_body_email_subject_idf_sum,match_body_email_subject_tf_min,match_body_email_subject_tf_max,match_body_email_subject_tf_stdev,match_body_email_subject_tf_sum,match_body_term_count,match_body_score_norm,match_subject_score_norm,match_subject_term_count,judgement
1,candidate-0001,1.0,21.451141,30.0,0.0,48.0,15.003293,358.0,2.5063424,6.398163,1.4758329,141.9123,0.0,1733.0,456.64035,7826.0,10.0,21.451141,13.513632,10.0,0
1,candidate-0006,1.0,8.919543,30.0,0.0,29.0,9.708155,228.0,2.9459102,6.3471074,1.3351407,149.23557,0.0,1336.0,357.47214,5737.0,10.0,8.919543,0.0,10.0,0
1,candidate-0009,1.0,12.044769,30.0,0.0,29.0,9.708155,228.0,2.9459102,6.3471074,1.3351407,149.23557,0.0,1336.0,357.47214,5737.0,10.0,12.044769,2.3604786,10.0,0
1,candidate-0010,1.0,16.180971,30.0,0.0,29.0,9.708155,228.0,2.9459102,6.3471074,1.3351407,149.23557,0.0,1336.0,357.47214,5737.0,10.0,16.180971,1.4371865,10.0,0
1,candidate-0003,1.0,17.662277,30.0,0.0,38.0,12.316749,307.0,2.7391157,6.4026775,1.3990194,143.37845,0.0,6834.0,1503.9619,21181.0,10.0,17.662277,3.1413348,10.0,0
1,candidate-0005,1.0,16.12043,30.0,0.0,38.0,12.316749,307.0,2.7391157,6.4026775,1.3990194,143.37845,0.0,6834.0,1503.9619,21181.0,10.0,16.12043,0.0,10.0,0
1,candidate-0007,1.0,15.080109,30.0,0.0,38.0,12.316749,307.0,2.7391157,6.4026775,1.3990194,143.37845,0.0,6834.0,1503.9619,21181.0,10.0,15.080109,1.5381713,10.0,0
1,candidate-0002,1.0,23.816065,30.0,0.0,30.0,9.602741,215.0,2.9459102,6.379897,1.3332491,152.38474,0.0,2439.0,546.4229,8004.0,10.0,23.816065,10.000039,10.0,0
1,candidate-0008,1.0,11.071507,30.0,0.0,30.0,9.602741,215.0,2.9459102,6.379897,1.3332491,152.38474,0.0,2439.0,546.4229,8004.0,10.0,11.071507,0.0,10.0,0
1,candidate-0004,1.0,14.014554,30.0,0.0,37.0,12.601267,289.0,2.7873638,6.42495,1.4415143,148.908,0.0,1297.0,355.84497,6221.0,10.0,14.014554,3.232161,10.0,0
1,candidate-0015,1.0,0.0,30.0,0.0,48.0,15.003293,358.0,2.5063424,6.398163,1.4758329,141.9123,0.0,1733.0,456.64035,7826.0,10.0,0.0,0.0,10.0,1
1,candidate-0020,0.0,7.940526,30.0,0.0,48.0,15.003293,358.0,2.5063424,6.398163,1.4758329,141.9123,0.0,1733.0,456.64035,7826.0,10.0,7.940526,0.0,10.0,1
1,candidate-0011,1.0,0.0,30.0,0.0,29.0,9.708155,228.0,2.9459102,6.3471074,1.3351407,149.23557,0.0,1336.0,357.47214,5737.0,10.0,0.0,0.0,10.0,0
1,candidate-0013,1.0,1.4081678,30.0,0.0,29.0,9.708155,228.0,2.9459102,6.3471074,1.3351407,149.23557,0.0,1336.0,357.47214,5737.0,10.0,1.4081678,0.0,10.0,1
1,candidate-0016,0.0,33.340317,30.0,0.0,38.0,12.316749,307.0,2.7391157,6.4026775,1.3990194,143.37845,0.0,6834.0,1503.9619,21181.0,10.0,22.421198,33.340317,10.0,1
1,candidate-0014,1.0,0.0,30.0,0.0,30.0,9.602741,215.0,2.9459102,6.379897,1.3332491,152.38474,0.0,2439.0,546.4229,8004.0,10.0,0.0,0.0,10.0,1
1,candidate-0017,1.0,3.8500457,30.0,0.0,30.0,9.602741,215.0,2.9459102,6.379897,1.3332491,152.38474,0.0,2439.0,546.4229,8004.0,10.0,3.8500457,0.0,10.0,1
1,candidate-0019,1.0,0.0,30.0,0.0,30.0,9.602741,215.0,2.9459102,6.379897,1.3332491,152.38474,0.0,2439.0,546.4229,8004.0,10.0,0.0,0.0,10.0,1
1,candidate-0012,1.0,4.436482,30.0,0.0,37.0,12.601267,289.0,2.7873638,6.42495,1.4415143,148.908,0.0,1297.0,355.84497,6221.0,10.0,4.436482,0.0,10.0,1
1,candidate-0018,1.0,1.4087706,30.0,0.0,37.0,12.601267,289.0,2.7873638,6.42495,1.4415143,148.908,0.0,1297.0,355.84497,6221.0,10.0,1.4087706,0.0,10.0,1
1,candidate-0023,1.0,18.4425,30.0,0.0,48.0,15.003293,358.0,2.5063424,6.398163,1.4758329,141.9123,0.0,1733.0,456.64035,7826.0,10.0,18.4425,2.6903179,10.0,1
1,candidate-0025,0.0,10.733441,30.0,0.0,48.0,15.003293,358.0,2.5063424,6.398163,1.4758329,141.9123,0.0,1733.0,456.64035,7826.0,10.0,10.733441,1.969997,10.0,0
1,candidate-0026,0.0,14.699068,30.0,0.0,48.0,15.003293,358.0,2.5063424,6.398163,1.4758329,141.9123,0.0,1733.0,456.64035,7826.0,10.0,14.699068,3.587496,10.0,0
1,candidate-0027,0.0,0.0,30.0,0.0,48.0,15.003293,358.0,2.5063424,6.398163,1.4758329,141.9123,0.0,1733.0,456.64035,7826.0,10.0,0.0,0.0,10.0,0
1,candidate-0030,1.0,4.9997625,30.0,0.0,48.0,15.003293,358.0,2.5063424,6.398163,1.4758329,141.9123,0.0,1733.0,456.64035,7826.0,10.0,4.9997625,0.0,10.0,0
1,candidate-0022,1.0,2.9725435,30.0,0.0,29.0,9.708155,228.0,2.9459102,6.3471074,1.3351407,149.23557,0.0,1336.0,357.47214,5737.0,10.0,2.9725435,0.0,10.0,1
1,candidate-0021,1.0,12.640033,30.0,0.0,38.0,12.316749,307.0,2.7391157,6.4026775,1.3990194,143.37845,0.0,6834.0,1503.9619,21181.0,10.0,12.640033,3.1970327,10.0,1
1,candidate-0028,1.0,0.0,30.0,0.0,38.0,12.316749,307.0,2.7391157,6.4026775,1.3990194,143.37845,0.0,6834.0,1503.9619,21181.0,10.0,0.0,0.0,10.0,0
1,candidate-0029,1.0,0.0,30.0,0.0,30.0,9.602741,215.0,2.9459102,6.379897,1.3332491,152.38474,0.0,2439.0,546.4229,8004.0,10.0,0.0,0.0,10.0,0
1,candidate-0024,1.0,9.96126,30.0,0.0,37.0,12.601267,289.0,2.7873638,6.42495,1.4415143,148.908,0.0,1297.0,355.84497,6221.0,10.0,9.96126,7.0493875,10.0,1
1,candidate-0031,1.0,2.732638,30.0,0.0,29.0,9.708155,228.0,2.9459102,6.3471074,1.3351407,149.23557,0.0,1336.0,357.47214,5737.0,10.0,2.732638,0.0,10.0,0
1,candidate-0033,1.0,0.0,30.0,0.0,29.0,9.708155,228.0,2.9459102,6.3471074,1.3351407,149.23557,0.0,1336.0,357.47214,5737.0,10.0,0.0,0.0,10.0,0
1,candidate-0034,1.0,3.4006062,30.0,0.0,29.0,9.708155,228.0,2.9459102,6.3471074,1.3351407,149.23557,0.0,1336.0,357.47214,5737.0,10.0,3.4006062,0.0,10.0,0
1,candidate-0035,1.0,8.824937,30.0,0.0,29.0,9.708155,228.0,2.9459102,6.3471074,1.3351407,149.23557,0.0,1336.0,357.47214,5737.0,10.0,8.824937,0.0,10.0,0
1,candidate-0036,1.0,0.0,30.0,0.0,38.0,12.316749,307.0,2.7391157,6.4026775,1.3990194,143.37845,0.0,6834.0,1503.9619,21181.0,10.0,0.0,0.0,10.0,0
1,candidate-0037,1.0,0.0,30.0,0.0,38.0,12.316749,307.0,2.7391157,6.4026775,1.3990194,143.37845,0.0,6834.0,1503.9619,21181.0,10.0,0.0,0.0,10.0,0
1,candidate-0039,1.0,1.963494,30.0,0.0,38.0,12.316749,307.0,2.7391157,6.4026775,1.3990194,143.37845,0.0,6834.0,1503.9619,21181.0,10.0,1.963494,0.0,10.0,0
1,candidate-0040,1.0,0.0,30.0,0.0,30.0,9.602741,215.0,2.9459102,6.379897,1.3332491,152.38474,0.0,2439.0,546.4229,8004.0,10.0,0.0,0.0,10.0,0
1,candidate-0032,1.0,9.860012,30.0,0.0,37.0,12.601267,289.0,2.7873638,6.42495,1.4415143,148.908,0.0,1297.0,355.84497,6221.0,10.0,9.860012,0.0,10.0,0
